"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","Q88_First.Click","Q88_Last.Click","Q88_Page.Submit","Q88_Click.Count","Q84_First.Click","Q84_Last.Click","Q84_Page.Submit","Q84_Click.Count","vA_sue_AV_1","vB_mf_sue_AV_1","vA_cntf_AV_1","vB_cntf_AV_1","avoid_AV_1","Q179_First.Click","Q179_Last.Click","Q179_Page.Submit","Q179_Click.Count","Q181_First.Click","Q181_Last.Click","Q181_Page.Submit","Q181_Click.Count","intv_check_AV","vA_sue_AV_intv_1","vB_mf_sue_AV_intv_1","vA_cntf_AV_intv_1","vB_cntf_AV_intv_1","avoid_AV_intv_1","Q87_First.Click","Q87_Last.Click","Q87_Page.Submit","Q87_Click.Count","Q82_First.Click","Q82_Last.Click","Q82_Page.Submit","Q82_Click.Count","vA_sue_1","vB_driver_sue_1","vB_mf_sue_1","vA_cntf_1","vB_cntf_1","avoid_1","Q184_First.Click","Q184_Last.Click","Q184_Page.Submit","Q184_Click.Count","Q186_First.Click","Q186_Last.Click","Q186_Page.Submit","Q186_Click.Count","intv_check","vA_sue_intv_1","vB_sue_intv_1","vB_mf_sue_intv_1","vA_cntf_intv_1","vB_cntf_intv_1","avoid_intv_1","comp1","comp_accident","ai_familiarity_1","gender","gender_4_TEXT","age","edu","edu_8_TEXT","Q151_First.Click","Q151_Last.Click","Q151_Page.Submit","Q151_Click.Count","FL_4_DO","FL_92_DO","FL_98_DO","questions_1_AV_DO","questions_2_AV_DO","questions_1_AV_intv_DO","questions_2_AV_intv_DO","questions_1_DO","questions_2_DO","questions_1_intv_DO","questions_2_intv_DO"
"2024-06-16 16:06:14","2024-06-16 16:09:48","0","NA","100","213","1","2024-06-16 16:09:49","R_701RUU1Pga5fyK4","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","7.898","20.239","21.576","2","4.075","11.896","12.993","2","1,2","100","0","100","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","10","2","","39","3","","","","","","FL_39","FL_94","","","","Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv","Q158|avoid_AV_intv|vB_cntf_AV_intv|vA_cntf_AV_intv","","","",""
"2024-06-16 16:35:09","2024-06-16 16:40:00","0","NA","100","291","1","2024-06-16 16:40:01","R_7Ev7TgUNadrwsfG","","","","","NA","NA","anonymous","EN","1","2","2","9.441","57.873","59.128","4","0","0","12.878","0","100","0","15","82","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","52","2","","28","2","","","","","","FL_39","FL_93","","Q116|vB_mf_sue_AV|vA_sue_AV","Q122|avoid_AV|vB_cntf_AV|vA_cntf_AV","","","","","",""
"2024-06-16 17:02:03","2024-06-16 17:02:53","0","NA","100","50","1","2024-06-16 17:02:54","R_5BtkVEgdONBGoy2","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-16 17:03:16","2024-06-16 17:07:10","0","NA","100","234","1","2024-06-16 17:07:11","R_7sHjdd2IqMuNA8V","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28.353","0","0","0","16.163","0","1,2","100","0","0","60","0","70","2","1","0","1","","25","1","","","","","","FL_40","","FL_100","","","","","","","Q164|vA_sue_intv|vB_sue_intv|vB_mf_sue_intv","Q167|avoid_intv|vB_cntf_intv|vA_cntf_intv"
"2024-06-16 17:23:34","2024-06-16 17:24:29","0","NA","100","54","1","2024-06-16 17:24:29","R_1AjI74TlBl6mmCR","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-16 17:25:50","2024-06-16 17:26:19","0","NA","100","28","1","2024-06-16 17:26:19","R_1MGbm0nqDiK7euR","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-16 17:24:36","2024-06-16 17:29:40","0","NA","100","304","1","2024-06-16 17:29:41","R_1eW99ND7bqP2FNK","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","40.748","0","0","0","14.526","0","1,2","0","0","50","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","0","2","","32","3","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vA_cntf_AV_intv|vB_cntf_AV_intv|avoid_AV_intv","","","",""
"2024-06-16 17:29:28","2024-06-16 17:33:06","0","NA","100","217","1","2024-06-16 17:33:07","R_5Xp3XWHsZsYzlx6","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.263","39.263","39.823","1","13.819","13.819","14.287","1","1,2","100","0","0","100","0","0","2","1","0","2","","30","3","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv","Q167|avoid_intv|vB_cntf_intv|vA_cntf_intv"
"2024-06-16 17:30:46","2024-06-16 17:35:01","0","NA","100","255","1","2024-06-16 17:35:02","R_6tEpsyfuVstAwQ9","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.651","17.872","64.767","3","1.508","4.565","22.288","3","89","12","12","89","8","7","","","","","","","","","","","","","","","","2","1","33","1","","40","5","","","","","","FL_40","","FL_99","","","","","Q90|vB_mf_sue|vB_driver_sue|vA_sue","Q71|avoid|vA_cntf|vB_cntf","",""
"2024-06-16 17:31:51","2024-06-16 17:43:41","0","NA","100","710","1","2024-06-16 17:43:42","R_5pQihq6oAejuurB","","","","","NA","NA","anonymous","EN","1","2","2","0","0","21.751","0","0","0","15.171","0","70","40","100","90","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","20","2","","38","4","","","","","","FL_39","FL_93","","Q116|vB_mf_sue_AV|vA_sue_AV","Q122|vB_cntf_AV|vA_cntf_AV|avoid_AV","","","","","",""
"2024-06-16 17:42:32","2024-06-16 17:46:14","0","NA","100","222","1","2024-06-16 17:46:15","R_30wxabU0bTtWYOu","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","20.148","33.526","34.8","2","10.058","10.058","11.601","1","1,2","100","0","100","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","2","","38","1","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|avoid_AV_intv|vA_cntf_AV_intv|vB_cntf_AV_intv","","","",""
"2024-06-16 17:49:16","2024-06-16 17:54:22","0","NA","100","306","1","2024-06-16 17:54:23","R_7ImEBLOaubRGjpn","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","32.369","0","0","0","11.25","0","100","0","0","100","10","8","","","","","","","","","","","","","","","","2","1","2","2","","54","4","","","","","","FL_40","","FL_99","","","","","Q90|vB_mf_sue|vA_sue|vB_driver_sue","Q71|vA_cntf|vB_cntf|avoid","",""
"2024-06-16 18:12:54","2024-06-16 18:15:56","0","NA","100","181","1","2024-06-16 18:15:57","R_1R8tGkemjbYvFQh","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15.669","0","0","0","11.63","0","1,2","100","0","0","100","11","8","1","1","71","1","","25","4","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv","Q167|vA_cntf_intv|avoid_intv|vB_cntf_intv"
"2024-06-16 18:28:45","2024-06-16 18:32:42","0","NA","100","236","1","2024-06-16 18:32:43","R_1TNOkShijJI40dA","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","5.064","11.59","29.486","8","10.691","11.254","11.706","2","1,2","95","10","100","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","30","1","","39","3","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vA_cntf_AV_intv|vB_cntf_AV_intv|avoid_AV_intv","","","",""
"2024-06-16 18:40:17","2024-06-16 18:43:09","0","NA","100","172","1","2024-06-16 18:43:10","R_1DeHxeAfbrq0lec","","","","","NA","NA","anonymous","EN","1","2","2","0","0","22.697","0","0","0","18.774","0","84","38","100","100","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","","42","6","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|vA_cntf_AV|avoid_AV|vB_cntf_AV","","","","","",""
"2024-06-16 18:50:29","2024-06-16 18:53:18","0","NA","100","168","1","2024-06-16 18:53:19","R_7rvczbIri62O215","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","18.693","0","0","0","11.002","0","100","0","10","0","55","55","","","","","","","","","","","","","","","","2","1","75","1","","49","5","","","","","","FL_40","","FL_99","","","","","Q90|vB_mf_sue|vB_driver_sue|vA_sue","Q71|avoid|vA_cntf|vB_cntf","",""
"2024-06-16 18:56:31","2024-06-16 19:03:21","0","NA","100","409","1","2024-06-16 19:03:21","R_125SJKmJa9R9RdM","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.922","40.728","41.787","2","18.549","18.549","20.219","1","1,2","100","0","50","100","0","0","2","1","0","2","","41","3","","","","","","FL_40","","FL_100","","","","","","","Q164|vA_sue_intv|vB_mf_sue_intv|vB_sue_intv","Q167|vB_cntf_intv|avoid_intv|vA_cntf_intv"
"2024-06-16 19:10:34","2024-06-16 19:14:51","0","NA","100","257","1","2024-06-16 19:14:52","R_70nQxEQycR2cPUY","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","33.71","0","0","0","17.585","0","1,2","100","0","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","10","2","","38","5","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vB_cntf_AV_intv|vA_cntf_AV_intv|avoid_AV_intv","","","",""
"2024-06-16 19:16:50","2024-06-16 19:19:30","0","NA","100","160","1","2024-06-16 19:19:31","R_3ejX5CU5wn86WLz","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","13.358","0","0","0","10.906","0","100","0","5","100","28","8","","","","","","","","","","","","","","","","2","1","35","2","","25","4","","","","","","FL_40","","FL_99","","","","","Q90|vA_sue|vB_driver_sue|vB_mf_sue","Q71|vA_cntf|vB_cntf|avoid","",""
"2024-06-16 19:38:36","2024-06-16 19:41:23","0","NA","100","167","1","2024-06-16 19:41:24","R_3SFHt2KgSyH2HJv","","","","","NA","NA","anonymous","EN","1","2","2","0","0","15.622","0","0","0","13.344","0","100","30","100","29","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","29","1","","35","3","","","","","","FL_39","FL_93","","Q116|vB_mf_sue_AV|vA_sue_AV","Q122|avoid_AV|vA_cntf_AV|vB_cntf_AV","","","","","",""
"2024-06-16 20:24:57","2024-06-16 20:27:06","0","NA","100","129","1","2024-06-16 20:27:07","R_1CeiuUbGTkSY7gB","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15.133","0","0","0","11.191","0","1,2","98","18","17","81","26","8","2","1","22","2","","28","1","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_sue_intv|vA_sue_intv|vB_mf_sue_intv","Q167|avoid_intv|vA_cntf_intv|vB_cntf_intv"
"2024-06-16 21:15:37","2024-06-16 21:16:08","0","NA","100","30","1","2024-06-16 21:16:09","R_6RRiSvZKAT2cksP","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-16 21:16:20","2024-06-16 21:21:16","0","NA","100","295","1","2024-06-16 21:21:17","R_5sidAwTuIx5Fd1T","","","","","NA","NA","anonymous","EN","1","2","2","18.342","18.342","39.797","1","1.772","6.082","18.01","2","100","80","100","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","61","4","Genderqueer","28","3","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|vA_cntf_AV|avoid_AV|vB_cntf_AV","","","","","",""
"2024-06-16 21:31:35","2024-06-16 21:36:10","0","NA","100","275","1","2024-06-16 21:36:11","R_30WRGXNG53Fs6op","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","10.386","10.386","41.276","1","0","0","11.273","0","1,2","100","0","100","100","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","5","2","","27","3","","","","","","FL_39","FL_94","","","","Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv","Q158|avoid_AV_intv|vB_cntf_AV_intv|vA_cntf_AV_intv","","","",""
"2024-06-16 21:32:58","2024-06-16 21:40:04","0","NA","100","425","1","2024-06-16 21:40:04","R_5P7Adk84aRg5jXv","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.77","26.004","27.002","2","4.054","14.927","15.816","2","1,2","100","0","20","92","3","5","2","1","0","2","","72","1","","","","","","FL_40","","FL_100","","","","","","","Q164|vA_sue_intv|vB_mf_sue_intv|vB_sue_intv","Q167|avoid_intv|vB_cntf_intv|vA_cntf_intv"
"2024-06-16 21:51:41","2024-06-16 21:54:17","0","NA","100","156","1","2024-06-16 21:54:17","R_72t0R3RVWn2APe4","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","16.435","0","11.814","11.814","12.284","1","1,2","100","0","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","50","2","","30","3","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vB_cntf_AV_intv|vA_cntf_AV_intv|avoid_AV_intv","","","",""
"2024-06-16 22:04:31","2024-06-16 22:07:12","0","NA","100","160","1","2024-06-16 22:07:12","R_6YpqmnJ1wR7cHcd","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","13.501","0","0","0","11.049","0","100","0","8","100","7","6","","","","","","","","","","","","","","","","2","2","71","2","","24","4","","","","","","FL_40","","FL_99","","","","","Q90|vB_driver_sue|vB_mf_sue|vA_sue","Q71|vB_cntf|vA_cntf|avoid","",""
"2024-06-16 23:33:30","2024-06-16 23:38:47","0","NA","100","316","1","2024-06-16 23:38:49","R_1P7uUXSUarIpLPC","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.489","26.701","30.319","2","19.304","19.304","20.628","1","100","0","20","100","20","20","","","","","","","","","","","","","","","","2","1","30","2","","40","5","","","","","","FL_40","","FL_99","","","","","Q90|vB_mf_sue|vA_sue|vB_driver_sue","Q71|avoid|vB_cntf|vA_cntf","",""
"2024-06-17 02:49:27","2024-06-17 02:53:42","0","NA","100","254","1","2024-06-17 02:53:43","R_7t9j8eiOknjUdeA","","","","","NA","NA","anonymous","EN","1","2","2","0","0","20.43","0","0","0","11.1","0","100","100","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","","41","4","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|vB_cntf_AV|vA_cntf_AV|avoid_AV","","","","","",""
"2024-06-17 04:17:46","2024-06-17 04:21:42","0","NA","100","235","1","2024-06-17 04:21:43","R_3bsJboCsQqnSvvj","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","4","34.519","35.342","6","14.132","14.132","15.65","1","1,2","90","10","91","7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","72","1","","54","4","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|avoid_AV_intv|vA_cntf_AV_intv|vB_cntf_AV_intv","","","",""
"2024-06-17 07:10:41","2024-06-17 07:13:58","0","NA","100","196","1","2024-06-17 07:13:58","R_614u5MJ7CybN0ox","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","32.349","0","0","0","11.917","0","1,2","100","10","10","100","60","24","2","1","0","2","","38","3","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv","Q167|vB_cntf_intv|vA_cntf_intv|avoid_intv"
"2024-06-17 07:19:36","2024-06-17 07:21:57","0","NA","100","140","1","2024-06-17 07:21:58","R_3isV9db0SOVWIJ9","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","11.076","0","0","0","14.181","0","100","0","0","100","0","9","","","","","","","","","","","","","","","","2","1","0","1","","29","3","","","","","","FL_40","","FL_99","","","","","Q90|vA_sue|vB_driver_sue|vB_mf_sue","Q71|vB_cntf|vA_cntf|avoid","",""
"2024-06-17 07:36:26","2024-06-17 07:36:59","0","NA","100","33","1","2024-06-17 07:37:00","R_3g5it2KKPGLn4Dz","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-17 07:47:52","2024-06-17 07:51:25","0","NA","100","212","1","2024-06-17 07:51:26","R_53YiBW6z3z8ICoF","","","","","NA","NA","anonymous","EN","1","2","2","0","0","36.928","0","0","0","12.2","0","100","0","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","31","1","","57","4","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|avoid_AV|vB_cntf_AV|vA_cntf_AV","","","","","",""
"2024-06-17 08:02:37","2024-06-17 08:03:25","0","NA","100","48","1","2024-06-17 08:03:26","R_1C7h1w5tolpo2wp","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-17 08:26:40","2024-06-17 08:29:53","0","NA","100","192","1","2024-06-17 08:29:53","R_6OO3tkP4zAYCGNX","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.115","26.211","32.662","6","0","0","21.099","0","1,2","100","0","0","100","0","0","2","1","1","2","","31","3","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_mf_sue_intv|vA_sue_intv|vB_sue_intv","Q167|vA_cntf_intv|avoid_intv|vB_cntf_intv"
"2024-06-17 08:44:29","2024-06-17 08:49:19","0","NA","100","290","1","2024-06-17 08:49:20","R_3S02NrU2WFOSQ1Z","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","13.022","13.022","15.295","1","0","0","14.72","0","1,2","100","0","100","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","50","1","","33","4","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vA_cntf_AV_intv|avoid_AV_intv|vB_cntf_AV_intv","","","",""
"2024-06-17 09:48:00","2024-06-17 09:49:32","0","NA","100","91","1","2024-06-17 09:49:33","R_1z7T8bGArKlIh9L","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.675","3.675","11.508","1","0","0","13.494","0","1,2","100","0","0","100","0","1","2","1","5","1","","35","5","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_sue_intv|vB_mf_sue_intv|vA_sue_intv","Q167|avoid_intv|vA_cntf_intv|vB_cntf_intv"
"2024-06-17 09:48:27","2024-06-17 09:51:20","0","NA","100","172","1","2024-06-17 09:51:21","R_6dGDIBfLsWn0gmx","","","","","NA","NA","anonymous","EN","1","2","2","0","0","61.805","0","0","0","10.965","0","60","70","83","73","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","55","1","","40","4","","","","","","FL_39","FL_93","","Q116|vB_mf_sue_AV|vA_sue_AV","Q122|vB_cntf_AV|avoid_AV|vA_cntf_AV","","","","","",""
"2024-06-17 09:48:21","2024-06-17 09:52:32","0","NA","100","250","1","2024-06-17 09:52:33","R_3nC1ghTzIAIFqbS","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","46.308","0","0","0","11.404","0","1,2","100","0","96","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","50","2","","43","4","","","","","","FL_39","FL_94","","","","Q155|vB_mf_sue_AV_intv|vA_sue_AV_intv","Q158|avoid_AV_intv|vB_cntf_AV_intv|vA_cntf_AV_intv","","","",""
"2024-06-17 09:48:51","2024-06-17 09:52:37","0","NA","100","226","1","2024-06-17 09:52:38","R_7RZZOxf02qWaDQc","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","13.487","0","0","0","11.578","0","100","0","8","100","54","0","","","","","","","","","","","","","","","","2","1","39","1","","27","4","","","","","","FL_40","","FL_99","","","","","Q90|vB_driver_sue|vB_mf_sue|vA_sue","Q71|avoid|vA_cntf|vB_cntf","",""
"2024-06-17 09:50:45","2024-06-17 09:52:54","0","NA","100","129","1","2024-06-17 09:52:54","R_6H79rLcsp0crpNb","","","","","NA","NA","anonymous","EN","1","2","2","0","0","17.334","0","0","0","11.634","0","100","0","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","20","1","","54","4","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|avoid_AV|vB_cntf_AV|vA_cntf_AV","","","","","",""
"2024-06-17 09:52:39","2024-06-17 09:53:25","0","NA","100","45","1","2024-06-17 09:53:26","R_5IWoQUR3sOYPSoQ","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-06-17 09:52:46","2024-06-17 09:54:45","0","NA","100","118","1","2024-06-17 09:54:45","R_5AW3Ok2Ypr2C0jD","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","11.98","0","0","0","10.993","0","100","0","0","100","5","16","","","","","","","","","","","","","","","","2","1","30","1","","31","3","","","","","","FL_40","","FL_99","","","","","Q90|vB_driver_sue|vA_sue|vB_mf_sue","Q71|avoid|vB_cntf|vA_cntf","",""
"2024-06-17 09:51:28","2024-06-17 09:55:22","0","NA","100","234","1","2024-06-17 09:55:23","R_3qwAG1POohpeVUt","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","2.599","37.526","38.44","8","1.101","11.432","13.937","2","1,2","100","9","100","19","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","62","2","","41","1","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vA_cntf_AV_intv|vB_cntf_AV_intv|avoid_AV_intv","","","",""
"2024-06-17 09:52:05","2024-06-17 09:55:26","0","NA","100","201","1","2024-06-17 09:55:26","R_3314MSh0MZsjLlr","","","","","NA","NA","anonymous","EN","1","2","2","0","0","19.712","0","0","0","13.968","0","100","2","100","4","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","","48","4","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|vA_cntf_AV|vB_cntf_AV|avoid_AV","","","","","",""
"2024-06-17 09:51:41","2024-06-17 09:56:39","0","NA","100","298","1","2024-06-17 09:56:40","R_51syfifxFo5LNJz","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.317","3.317","29.043","1","1.342","1.688","12.198","3","100","0","0","100","2","25","","","","","","","","","","","","","","","","2","1","20","1","","42","1","","","","","","FL_40","","FL_99","","","","","Q90|vB_mf_sue|vB_driver_sue|vA_sue","Q71|avoid|vA_cntf|vB_cntf","",""
"2024-06-17 09:50:30","2024-06-17 09:57:16","0","NA","100","405","1","2024-06-17 09:57:16","R_1rw2ZvBhtI3sDhz","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","72.059","0","0","0","17.242","0","1,2","86","4","1","98","9","5","2","1","78","1","","39","5","","","","","","FL_40","","FL_100","","","","","","","Q164|vA_sue_intv|vB_sue_intv|vB_mf_sue_intv","Q167|vA_cntf_intv|avoid_intv|vB_cntf_intv"
"2024-06-17 09:54:53","2024-06-17 09:57:17","0","NA","100","144","1","2024-06-17 09:57:18","R_7LpTXmT4a2lNZHH","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","17.675","0","0","0","11.607","0","1,2","76","0","12","100","27","35","2","1","25","2","","27","5","","","","","","FL_40","","FL_100","","","","","","","Q164|vB_mf_sue_intv|vB_sue_intv|vA_sue_intv","Q167|avoid_intv|vA_cntf_intv|vB_cntf_intv"
"2024-06-17 09:56:13","2024-06-17 09:58:39","0","NA","100","145","1","2024-06-17 09:58:40","R_3mUgiBrME33Lk8M","","","","","NA","NA","anonymous","EN","1","2","2","1.469","24.278","24.945","12","0.955","17.167","20.631","12","100","9","78","78","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","8","1","","18","3","","","","","","FL_39","FL_93","","Q116|vA_sue_AV|vB_mf_sue_AV","Q122|avoid_AV|vB_cntf_AV|vA_cntf_AV","","","","","",""
"2024-06-17 09:57:30","2024-06-17 09:59:49","0","NA","100","139","1","2024-06-17 09:59:49","R_5SP9h3cNhcVIiwp","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","13.543","0","0","0","11.827","0","1,2","100","20","100","60","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","10","1","","45","4","","","","","","FL_39","FL_94","","","","Q155|vA_sue_AV_intv|vB_mf_sue_AV_intv","Q158|vA_cntf_AV_intv|avoid_AV_intv|vB_cntf_AV_intv","","","",""
